keystonemiddleware,,1.5.1
ironic,,2015.1.3
neutron-fwaas,,stable/kilo
neutron-lbaas,,2015.1.3
neutron-vpnaas,,2015.1.3
sahara,,2015.1.3
swift,,2.3.0
trove,,stable/kilo
python-barbicanclient,,3.0.3
python-ceilometerclient,,1.0.14
django_openstack_auth,,1.2.0
glance_store,,0.3.0
python-heatclient,,0.4.0
python-ironicclient,,0.5.1
python-neutronclient,,2.4.0
python-novaclient,,2.23.0
python-openstackclient,,1.0.4
oslo.concurrency,,1.8.0
oslo.context,,0.2.0
oslo.db,,1.7.1
oslo.i18n,,1.5.0
oslo.log,,1.0.0
oslo.messaging,,1.8.3
oslo.middleware,,1.0.0
oslo.policy,,0.3.2
oslo.rootwrap,,1.6.0
oslo.serialization,,1.4.0
oslo.utils,,1.4.0
oslo.versionedobjects,,0.1.1
oslo.vmware,,0.11.1
python-saharaclient,,0.8.0
python-swiftclient,,2.4.0
python-troveclient,,1.0.9
ceilometer,,2015.1.3,ceilometer-es
cinder,,2015.1.3,cinder-es
glance,,2015.1.3,glance-es
heat,,2015.1.3,heat-es
keystone,,2015.1.3,keystone-es
neutron,,2015.1.3,neutron-es
nova,,2015.1.3,nova-es
openstack-utils,,osee-kilo,openstack-utils-es
python-cinderclient,,1.1.1,python-cinderclient-es
python-django-horizon,,2015.1.3,openstack-es/horizon
python-glanceclient,,0.17.1,python-glanceclient-es
python-keystoneclient,,1.3.1,python-keystoneclient-es
python-oslo-config,,1.9.3,oslo-config-es
